#iID	iAbilityType	sAbilityID	sBookTip	sBookImage	sLink
10001	1	铁矿	[5E0B08]铁矿[-]铸造兵器的原料之一，兵器不同所需铁矿的用量也不相同，运气好的话会在铁矿里发现其它特殊矿料。	i10101	3,0
10002	1	铜矿	铜矿石，古时打造武器的材料。	i10102	3,0
10003	1	黑晶矿	不一般的铁矿，能够制作出品质出众的兵器。	i10103	3,0
10004	1	白晶矿	不一般的铁矿，能够制作出品质出众的兵器。	i10104	3,0
10005	1	黄晶矿	不一般的铁矿，能够制作出品质出众的兵器。	i10105	3,0
10006	1	红晶矿	不一般的铁矿，能够制作出品质出众的兵器。	i10106	3,0
10007	1	蓝晶矿	不一般的铁矿，能够制作出品质出众的兵器。	i10107	3,0
10008	1	绝龙骨	稀有矿物，可以制造出稀有质量的兵器。	i10108	3,0
10009	1	钛金属	稀有矿物，由黑色石头中炼出，质轻地坚，可以制造出稀有质量的兵器。	i10109	3,0
10010	1	挖矿	[5E0B08]挖矿需有铲子才可进行。[-]挖矿时注意，得击中有抱矿物的地鼠，若打到没有抱矿物的地鼠可是会扣时间的；随着挖矿的熟练度越高，会出现越加稀有的矿物。[5E0B08]挖矿获得材料可用来打铁。[-]	i10021	3,0
10011	1	玄铁石	传说来自于天火，延展性高，可硕性强，适合做成各类武器，锻造后极度坚硬，是非常稀有的矿石。	i00707	3,0
10101	2	打猎	[5E0B08]打猎需要弓箭才行。[-]打猎最基础的工具是弓箭，弓的类型丰富，优秀的弓各方面都表现出色，洛阳郊外猎人所在的附近森林为打猎地。[5E0B08]打猎所得材料为炼丹与下厨必备。[-]	i10022	3,1
10102	2	野兔	森林中常见的[5E0B08]野兔[-]，动作相当敏捷，能在逃跑时快速转弯变换逃生方向。	i10001	3,1
10103	2	野鸡	[5E0B08]野鸡[-]，遇到有人惊动时，会很快隐藏到附近的草丛或飞逃。	i10002	3,1
10104	2	野鹿	[5E0B08]野鹿[-]野鹿的鹿茸最为珍贵，可入药，益精血、强筋骨。	i10003	3,1
10105	2	野猪	[5E0B08]野猪[-]是野外中常见的攻击性动物，喜欢用冲撞的方式攻击敌人，需要小心注意。	i10004	3,1
10106	2	野雁	[5E0B08]野雁[-]擅长从高空滑翔下来攻击敌人，遇到野雁时切记一定得先攻击，否则会遭殃。	i10005	3,1
10107	2	毒蛇	[5E0B08]毒蛇[-]性格狡猾，出击狠毒，利用树木的保护色，在森林中神出鬼没，诡异的攻击让死亡如影随形。	i10006	3,1
10108	2	黑熊	[5E0B08]黑熊[-]是森林中残暴的动物，体格壮硕，不易对付。	i10007	3,1
10109	2	老虎	有百兽之王之称的[5E0B08]老虎[-]是个凶猛的狩猎者，有敏锐的听力及夜视力，领地观念十分强烈，若不慎踏入牠的地盘，得小心慎防。	i10008	3,1
10110	2	雪貂	[5E0B08]雪貂[-]也许很可爱，但却极具破坏性。	i10009	3,1
10111	2	兀鹰	[5E0B08]兀鹰[-]只需要依靠气流便可飞翔，据说以腐蚀为主。	i10010	3,1
10112	2	白虎	[5E0B08]白虎[-]是极稀有的动物，据说是老虎近亲交配而得，其珍贵的毛皮受到多人喜爱与收藏。	i10011	3,1
10113	2	犀牛	[5E0B08]犀牛[-]的体型虽然肥拙，可移动甚快，不容轻忽。	i10012	3,1
10114	2	白熊	[5E0B08]白熊[-]是森林中残暴的动物，体格壮硕，不易对付。听说奔跑速度极快，可以轻易超过人类。	i10013	3,1
10115	2	金翅鸟	[5E0B08]金翅鸟[-]栖息地在大漠的神鵰，任天翔的「老朋友」。	0	3,1
10116	2	巨兔	[5E0B08]巨兔[-]兔中之王，食量惊人，喜欢以药草为食，常将药草咀嚼后囤积在口腔中，形成一个黏稠的药草团，据说可作为药引。	i10001	3,1
10117	2	银雪貂	[5E0B08]银雪貂[-]极为少见的品种，较一般雪貂更为轻巧灵动，双眼炯炯有神，具有灵性，生性调皮，有时还会捉弄人类。	i10009	3,1
10201	3	钓鱼	[5E0B08]有钓竿和鱼饵才能进行钓鱼。[-]可以在一些特定的地方钓鱼，要钓上鱼是要好好学学鱼的习性，鱼喜欢吃的东西和鱼住的地方。同时鱼上钩了，你需要一会线松一下，一会线拉紧一下。特别要注意的是你在松线时需放一会时间别立马拉紧。	i10023	3,2
10202	3	草鱼	[5E0B08]草鱼[-]典型的草食性鱼类，栖息于平原地区的江河湖泊，一般喜居于水的中下层和近岸多水草区域，吃藻类，蚯蚓，蜻蜓等。	i00066	3,2
10203	3	青鱼	[5E0B08]青鱼[-]大型鱼类，体表呈墨色，常在湍急的流水下或远离水面的水下，生长速度相当快。	i00067	3,2
10204	3	虹鱼	[5E0B08]虹鲤[-]为鲤鱼中极为珍贵品种，在太阳照耀下发出耀眼光芒，口感极好，可做药用，喜食红虫	i00069	3,2
10205	3	鲤鱼	[5E0B08]鲤鱼[-]一种鱼类，喜弱光，喜活水，机警聪明。爱栖息于水边的枯树旁，或者水下的芦苇丛中，喜食蚯蚓。	i00068	3,2
10206	3	怪鲶鱼	[5E0B08]怪鲶鱼[-]是鱼中贵族，必须在非常清澈的水中才能生长。因肉质鲜嫩又非常稀有，固十分珍贵。	i00072	3,2
10207	3	神鱼	[5E0B08]神鱼[-]坊间传闻鱼身色彩斑斓，鱼肉鲜美无比。	i00070	3,2
10208	3	鳜鱼	[5E0B08]鳜鱼[-]一般生活在水草茂盛的静水或缓流中，冬季往往游到深水越冬。	i00529	3,2
10209	3	甲鱼	[5E0B08]甲鱼[-]水栖性，常栖息于沙泥底质的淡水水域。有上岸进行日光浴的习性。	i00523	3,2
10210	3	鲢鱼	[5E0B08]鲢鱼[-]栖息于江河、水库及湖泊的上层水域，性急躁，善跳跃。属杂食性，以浮游藻类及有机碎屑为食。	i00526	3,2
10211	3	鳙鱼	[5E0B08]鳙鱼[-]具有洄游习性，平时多生活在有一定流速的水中。	i00527	3,2
10301	4	黄耆	这是一味中药；味甘，性微温，治表虚自汗、气虚内伤、脾虚泄泻、浮肿及痈疽等。	i00029	3,3
10302	4	人参	这是一味中药；百草之王，味甘微寒，主补五脏，安精神，定魂魄，止惊悸。	i00030	3,3
10303	4	白朮	这是一味中药；功效是健脾、益气、燥湿利水、止汗、安胎。	i00031	3,3
10304	4	黄精	这是一味中药；主要功效有补气养阴，健脾，润肺，益肾。	i00032	3,3
10305	4	牛膝	这是一味中药；治腰膝酸痛，肝肾亏虚，跌打瘀痛，治产后腹痛等。	i00033	3,3
10306	4	荠苨	中药材之一；和中，解毒。	i00034	3,3
10307	4	独活	中药材之一；有风不动，无风反摇，又名独摇草。	i00035	3,3
10308	4	当归	这是一味中药；。具有补气和血，调经止痛，润燥滑肠之功效。	i00036	3,3
10309	4	芎藭	这是一味中药；辛温香燥，走而不守，既能行散，上行可达巅顶；又入血分，下行可达血海。	i00037	3,3
10310	4	白芍	中药材之一；和血脉，泻肝火。	i00038	3,3
10311	4	生地黄	中药材之一；入心肾，泻内火，清燥金。	i00039	3,3
10312	4	延胡索	这是一味中药；适合用于活血，行气，止痛。	i00040	3,3
10313	4	红花	中药材之一；古名红兰花。破瘀血，活血，润燥，消肿，止痛。	i00041	3,3
10314	4	蒲黄	这是一味中药；主治吐血，衄血，咯血，崩漏，外伤出血，经闭通经，胸腹刺痛，跌扑肿痛，血淋涩痛。	i00042	3,3
10315	4	黄连	这是一味中药；有清热燥湿，泻火解毒之功效。古有云哑巴吃黄连，有苦说不出。	i00043	3,3
10316	4	附子	这是一味中药；引发散药开腠理以逐在表之风寒，引温暖药达下焦以祛在里之寒湿。	i00044	3,3
10317	4	金银花	这是一味中药；清热解毒，消炎退肿。主治外感风热或温病发热，中暑，热毒血痢，痈肿疔疮，喉痹，以及多种感染性疾病。	i00045	3,3
10318	4	山豆根	这是一味中药；有清热解毒，消肿利咽之功效，常用于火毒蕴结，口舌生疮。	i00046	3,3
10319	4	刘寄奴草	这是一味中药；主要功效是活血通经，散瘀止痛，止血消肿，消食化积。	i00047	3,3
10320	4	仙鹤草	中药材之一；传说其治劳伤吐血有神奇功效。	i00048	3,3
10321	4	茯苓	这是一味中药；能利窍去湿，利窍则开心益智，导浊生津；去湿则逐水燥脾。	i00049	3,3
10322	4	茯神	这是一味中药；性味甘、淡平。有渗湿、健脾、宁心等功效。	i00050	3,3
10323	4	柏子仁	中药材之一；主治阴血不足，虚烦失眠，心悸怔忡，肠燥便秘，阴虚盗汗。	i00051	3,3
10324	4	肉桂	中药材之一；大燥，补肾生火。以岭南桂州出产者为佳。	i00052	3,3
10325	4	杜仲	这是一味中药；治疗肾阳虚引起的腰腿痛或酸软无力，肝气虚引起的胞胎不固等。	i00053	3,3
